"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FAM219B",8.75117605484525e-08,0.264776309800202,0.376,0.213,0.002934969425274,"stromal_3_patient3","FAM219B"
"CABIN1",8.97793127860743e-08,0.269108618046838,0.466,0.287,0.00301101859221936,"stromal_3_patient3","CABIN1"
"CPE1",9.0260657096962e-08,0.251771312082744,0.556,0.35,0.00302716191771791,"stromal_3_patient3","CPE"
"CASC4",9.33344791081872e-08,0.274054542296274,0.528,0.334,0.00313025176033038,"stromal_3_patient3","CASC4"
"IFT57",9.68082367778591e-08,0.257778899658759,0.326,0.171,0.00324675464505584,"stromal_3_patient3","IFT57"
"GPR1081",1.05284813517815e-07,0.269687318970683,0.511,0.33,0.00353104207576048,"stromal_3_patient3","GPR108"
"TIA1",1.11163708493836e-07,0.300425559545556,0.539,0.36,0.00372820845546629,"stromal_3_patient3","TIA1"
"PACS21",1.16974397146428e-07,0.264651197655053,0.551,0.358,0.00392308733149691,"stromal_3_patient3","PACS2"
"NRBP21",1.17131274799441e-07,0.270439293665323,0.365,0.202,0.00392834869422367,"stromal_3_patient3","NRBP2"
"SF3B3",1.22137502874289e-07,0.274789015005949,0.444,0.274,0.0040962475713979,"stromal_3_patient3","SF3B3"
"PHPT11",1.26015276979426e-07,0.311659623330706,0.809,0.662,0.00422630035933599,"stromal_3_patient3","PHPT1"
"NDUFB71",1.34379491365667e-07,0.302659891311868,0.86,0.69,0.00450681938142175,"stromal_3_patient3","NDUFB7"
"PRMT11",1.46404234553126e-07,0.29601370258046,0.646,0.451,0.00491010521844273,"stromal_3_patient3","PRMT1"
"USP36",1.51221644796978e-07,0.253793822095424,0.343,0.189,0.00507167152320105,"stromal_3_patient3","USP36"
"ANKRD10",1.51398640939452e-07,0.292319124362622,0.612,0.43,0.00507760761982734,"stromal_3_patient3","ANKRD10"
"NSMF1",1.91798900859415e-07,0.25717100741567,0.399,0.235,0.00643255153702307,"stromal_3_patient3","NSMF"
"EIF2S3",1.98400365741795e-07,0.277902930842116,0.713,0.492,0.00665395146624831,"stromal_3_patient3","EIF2S3"
"CD55",2.02902001657487e-07,0.293571057749305,0.534,0.352,0.0068049273315888,"stromal_3_patient3","CD55"
"MCM3",2.0651491333871e-07,0.254896402955548,0.343,0.192,0.00692609716355365,"stromal_3_patient3","MCM3"
"SPRYD3",2.12009673256479e-07,0.263899446845822,0.421,0.256,0.00711038042167581,"stromal_3_patient3","SPRYD3"
"AGPAT1",2.14200579223387e-07,0.31356958969571,0.506,0.326,0.00718385902599397,"stromal_3_patient3","AGPAT1"
"PEAK1",2.15535700151154e-07,0.251528860824527,0.354,0.199,0.00722863631166939,"stromal_3_patient3","PEAK1"
"MAP3K12",2.3140801216298e-07,0.262240749442903,0.36,0.203,0.00776096191192201,"stromal_3_patient3","MAP3K12"
"VEGFB1",2.39310180237655e-07,0.305938849353854,0.775,0.61,0.00802598482481048,"stromal_3_patient3","VEGFB"
"RBM14",2.4036392888149e-07,0.253348403467495,0.438,0.264,0.00806132544682743,"stromal_3_patient3","RBM14"
"ERG281",2.65515148004064e-07,0.296030074913435,0.36,0.207,0.0089048470337603,"stromal_3_patient3","ERG28"
"ALKBH71",2.86273200597428e-07,0.27603564824623,0.652,0.475,0.00960103060163654,"stromal_3_patient3","ALKBH7"
"SBF11",2.88505815798446e-07,0.269392522573986,0.393,0.239,0.00967590805024829,"stromal_3_patient3","SBF1"
"NASP",2.90172189850311e-07,0.280723099252995,0.466,0.297,0.00973179490319974,"stromal_3_patient3","NASP"
"TMUB2",2.9496925983293e-07,0.29717348997886,0.421,0.266,0.00989267903627682,"stromal_3_patient3","TMUB2"
"TMPO",3.0028842639822e-07,0.273275280349414,0.393,0.235,0.0100710732445435,"stromal_3_patient3","TMPO"
"GNG12",3.07903482295346e-07,0.273724715800174,0.483,0.302,0.0103264669892213,"stromal_3_patient3","GNG12"
"SMPD1",3.18971881435873e-07,0.25893895594711,0.466,0.293,0.0106976789595963,"stromal_3_patient3","SMPD1"
"RNF401",3.38544117170277e-07,0.261535798408354,0.433,0.271,0.0113540926016568,"stromal_3_patient3","RNF40"
"FMR1",3.40032299606261e-07,0.251961508063126,0.433,0.265,0.0114040032641948,"stromal_3_patient3","FMR1"
"IL13RA1",3.43397839418491e-07,0.253307035458012,0.601,0.413,0.0115168767384173,"stromal_3_patient3","IL13RA1"
"RNF111",3.61032462971378e-07,0.268259512466885,0.534,0.354,0.0121083067431341,"stromal_3_patient3","RNF11"
"GANAB",3.79734593962974e-07,0.265297699874458,0.713,0.519,0.0127355388123302,"stromal_3_patient3","GANAB"
"RTL8C1",4.00418870522e-07,0.304871463040276,0.674,0.502,0.0134292480795668,"stromal_3_patient3","RTL8C"
"DGCR8",4.0311092495654e-07,0.250871996550428,0.292,0.158,0.0135195342011924,"stromal_3_patient3","DGCR8"
"HNRNPL",4.20218205985629e-07,0.270471527067938,0.551,0.367,0.014093278192346,"stromal_3_patient3","HNRNPL"
"FCHSD2",4.4899912118098e-07,0.254990268275784,0.32,0.179,0.0150585325261677,"stromal_3_patient3","FCHSD2"
"SPAG9",5.18450128324603e-07,0.283458184533504,0.438,0.282,0.0173877804037505,"stromal_3_patient3","SPAG9"
"MRPS26",5.28422307729075e-07,0.310586363631909,0.528,0.359,0.0177222273566177,"stromal_3_patient3","MRPS26"
"STK11",6.02152404390343e-07,0.295640271301373,0.466,0.308,0.0201949873384433,"stromal_3_patient3","STK11"
"REXO2",6.57023229216824e-07,0.255331843647433,0.438,0.28,0.0220352450614738,"stromal_3_patient3","REXO2"
"TOM1",6.69010267110166e-07,0.271398534748977,0.444,0.283,0.0224372663383407,"stromal_3_patient3","TOM1"
"NDUFS81",7.67525237464606e-07,0.259346602318091,0.719,0.544,0.025741261414088,"stromal_3_patient3","NDUFS8"
"RBMX1",8.16662785487374e-07,0.25282026941198,0.652,0.476,0.0273892364996755,"stromal_3_patient3","RBMX"
"JOSD21",8.57266523416607e-07,0.312538714702853,0.388,0.243,0.0287510046623462,"stromal_3_patient3","JOSD2"
"ELP2",8.77351621364244e-07,0.316600772317468,0.444,0.29,0.029424618677314,"stromal_3_patient3","ELP2"
"EXOC7",8.93724366634823e-07,0.269518536645396,0.573,0.395,0.0299737278081987,"stromal_3_patient3","EXOC7"
"ZMIZ2",9.48052672579645e-07,0.288201521276814,0.489,0.322,0.0317957905329761,"stromal_3_patient3","ZMIZ2"
"NORAD",1.01155811264021e-06,0.256626470315238,0.921,0.786,0.0339256359817273,"stromal_3_patient3","NORAD"
"NR1H21",1.06214297849035e-06,0.264904917432897,0.5,0.332,0.0356221512126093,"stromal_3_patient3","NR1H2"
"PMVK1",1.09320366647458e-06,0.264397868495536,0.483,0.322,0.0366638645662244,"stromal_3_patient3","PMVK"
"NFE2L11",1.31738351000514e-06,0.264799701288562,0.635,0.463,0.0441824081585525,"stromal_3_patient3","NFE2L1"
"CPSF6",1.59723219359259e-06,0.27130643462901,0.41,0.26,0.0535679733087082,"stromal_3_patient3","CPSF6"
"TXN21",1.63430606987949e-06,0.290385847316318,0.483,0.324,0.0548113569716185,"stromal_3_patient3","TXN2"
"SAT21",2.03478401484361e-06,0.265897407560174,0.562,0.392,0.0682425862898249,"stromal_3_patient3","SAT2"
"RCN12",2.22644318571981e-06,0.275647389966865,0.697,0.536,0.074670451562671,"stromal_3_patient3","RCN1"
"FBXL151",2.55694959234203e-06,0.267517173847428,0.41,0.263,0.0857549754279671,"stromal_3_patient3","FBXL15"
"AKR7A21",2.74224310223937e-06,0.274845528507588,0.472,0.317,0.091969349162904,"stromal_3_patient3","AKR7A2"
"MYO1C1",3.15543080424815e-06,0.281779156635585,0.607,0.437,0.105826838312875,"stromal_3_patient3","MYO1C"
"SDC41",4.47807110323414e-06,0.261057068420557,0.629,0.454,0.150185548660267,"stromal_3_patient3","SDC4"
"HNRNPR",5.07501560052807e-06,0.259468713117722,0.511,0.365,0.17020587321051,"stromal_3_patient3","HNRNPR"
"KLC1",5.16757634331427e-06,0.262320576048625,0.573,0.423,0.173310175402074,"stromal_3_patient3","KLC1"
"C19orf66",5.50198152218799e-06,0.288685069018608,0.433,0.291,0.184525456291141,"stromal_3_patient3","C19orf66"
"FTX",5.58633357650143e-06,0.251038415052171,0.404,0.259,0.187354455488705,"stromal_3_patient3","FTX"
"PGM1",5.74061913500999e-06,0.289013578015486,0.416,0.272,0.192528884549965,"stromal_3_patient3","PGM1"
"HGS1",5.98106221587658e-06,0.276678327798045,0.511,0.356,0.200592864596069,"stromal_3_patient3","HGS"
"CDK5RAP3",6.54102278161336e-06,0.256154418537539,0.669,0.493,0.219372822049749,"stromal_3_patient3","CDK5RAP3"
"BACE1",7.52363162488403e-06,0.251608030038177,0.331,0.203,0.25232755743536,"stromal_3_patient3","BACE1"
"RBCK1",7.8510306454438e-06,0.278711516361045,0.539,0.386,0.263307865786894,"stromal_3_patient3","RBCK1"
"SS18",8.20302421882052e-06,0.266222865309379,0.421,0.278,0.275113026250802,"stromal_3_patient3","SS18"
"BAP11",1.27548138668752e-05,0.258940896631725,0.382,0.25,0.42777094746726,"stromal_3_patient3","BAP1"
"CAMTA1",1.61098514271188e-05,0.272355234261791,0.365,0.238,0.54029219716271,"stromal_3_patient3","CAMTA1"
"PDCD11",4.99614287800094e-05,0.252252524422769,0.258,0.155,1,"stromal_3_patient3","PDCD11"
"ECEL12",1.71490826449486e-277,2.18732372135628,0.926,0.147,5.75145933746288e-273,"stromal_2_patient3","ECEL1"
