"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CAPS",4.10273193054678e-98,0.688694153005041,0.48,0.237,1.37597423486678e-93,"group1","CAPS"
"CERCAM",2.60621082001453e-97,0.596911420990968,0.535,0.314,8.74070984816472e-93,"group1","CERCAM"
"SNHG25",4.03113112934138e-97,0.662537056705068,0.76,0.566,1.35196075815851e-92,"group1","SNHG25"
"SERPINH1",5.33791713643867e-96,0.62016587510869,0.752,0.573,1.7902306492188e-91,"group1","SERPINH1"
"RCN3",4.00495308729141e-95,0.56368448286355,0.513,0.297,1.34318116641579e-90,"group1","RCN3"
"SCD5",2.15697323552133e-94,0.571439827391559,0.345,0.139,7.23405683729143e-90,"group1","SCD5"
"CLEC11A",7.38661046304706e-93,0.520073814588537,0.595,0.352,2.47732141709672e-88,"group1","CLEC11A"
"CCDC80",2.57828952834511e-91,0.718754945384607,0.753,0.576,8.64706742016382e-87,"group1","CCDC80"
"KLHDC8A",1.12099249032784e-90,0.822711958669106,0.375,0.174,3.75958461406152e-86,"group1","KLHDC8A"
"FAM30A",9.19614453403233e-89,0.500209939769563,0.294,0.105,3.08420295382376e-84,"group1","FAM30A"
"PTGS1",9.9135163199675e-88,0.538477446948656,0.449,0.237,3.3247951033907e-83,"group1","PTGS1"
"BMP1",3.22993477797792e-87,0.51649107679523,0.468,0.255,1.08325552583823e-82,"group1","BMP1"
"FBLN1",4.86285409280922e-87,0.975767726052922,0.756,0.685,1.63090400564636e-82,"group1","FBLN1"
"TCF21",8.0341720883879e-87,0.57419755511365,0.337,0.137,2.69450063500353e-82,"group1","TCF21"
"IGHG3",6.24835541709233e-86,1.40160909371315,0.743,0.713,2.09557343978442e-81,"group1","IGHG3"
"ABLIM1",7.45434537538532e-85,0.501830921520114,0.546,0.306,2.50003835199673e-80,"group1","ABLIM1"
"FBLN2",4.61464288086465e-83,0.80712551612908,0.431,0.25,1.54765892938439e-78,"group1","FBLN2"
"TPSB2",6.11728208730578e-83,0.502927600671396,0.297,0.111,2.05161406644061e-78,"group1","TPSB2"
"RPL18A",6.28277225370827e-83,0.511566082719918,0.996,0.977,2.10711615844868e-78,"group1","RPL18A"
"SLC44A2",1.06112220063294e-82,0.534320279518831,0.588,0.387,3.55879163648276e-78,"group1","SLC44A2"
"MZB1",9.67241706039948e-82,0.665573282039914,0.496,0.281,3.24393523371678e-77,"group1","MZB1"
"MFAP2",3.35899097591713e-81,0.687071331626238,0.501,0.316,1.12653839350309e-76,"group1","MFAP2"
"EMILIN1",2.18031532621167e-78,0.902747209953501,0.848,0.71,7.31234154104869e-74,"group1","EMILIN1"
"FHL2",5.88533774071152e-71,0.702137332287818,0.424,0.246,1.97382457147983e-66,"group1","FHL2"
"TNXB",5.10332410890594e-70,1.13281953564351,0.501,0.325,1.71155283964487e-65,"group1","TNXB"
"QSOX1",6.33250040717835e-66,0.508753337669415,0.638,0.458,2.12379398655948e-61,"group1","QSOX1"
"LRP3",1.96818028866881e-65,0.590161131892227,0.485,0.303,6.60088305213745e-61,"group1","LRP3"
"RPS8",1.09499097828225e-63,0.570455932695693,0.996,0.981,3.672380742963e-59,"group1","RPS8"
"IGFBP4",2.38376935854361e-62,0.946338845797197,0.941,0.836,7.99468567468355e-58,"group1","IGFBP4"
"RPL5",3.46116566232258e-54,0.563692285958682,0.981,0.944,1.16080573982975e-49,"group1","RPL5"
"CTSK",4.81283057116397e-53,0.869837801874796,0.669,0.583,1.61412711695697e-48,"group1","CTSK"
"RPL36",3.17823207982305e-50,0.528258710368052,0.996,0.983,1.06591547493105e-45,"group1","RPL36"
"IGHG1",2.06383255038612e-46,1.0141523804419,0.71,0.71,6.92168160748497e-42,"group1","IGHG1"
"CTHRC1",3.97944641278261e-46,0.709295007206857,0.49,0.377,1.33462673791903e-41,"group1","CTHRC1"
"CTGF",4.78221270982517e-46,0.711839019235215,0.69,0.539,1.60385849862117e-41,"group1","CTGF"
"POSTN",1.88423180415892e-43,0.917330246799397,0.489,0.4,6.3193366247882e-39,"group1","POSTN"
"RBP1",1.89929496663973e-39,0.831555107595912,0.7,0.656,6.36985545911631e-35,"group1","RBP1"
"IGKC",1.17177317415737e-19,0.674092258249523,0.747,0.812,3.92989287148898e-15,"group1","IGKC"
"IGFBP2",9.00074557647889e-19,0.518752685551665,0.831,0.752,3.01867005143949e-14,"group1","IGFBP2"
"ENG",1.03050004485063e-16,0.667304301751745,0.691,0.651,3.45609105042004e-12,"group1","ENG"
"THBS1",3.92448404692357e-14,0.677257154722914,0.482,0.433,1.31619345965723e-09,"group1","THBS1"
"C7",7.81825248471572e-09,0.519112555263697,0.499,0.486,0.000262208551832396,"group1","C7"
"TXNIP",3.05989812983905e-246,1.06483492636451,0.867,0.778,1.02622863478542e-241,"group2","TXNIP"
"MT-CO1",2.72831707503492e-234,0.692074401126701,0.999,1,9.15022980625211e-230,"group2","MT-CO1"
"TMSB4X",3.74211724310896e-224,0.950610082921745,0.991,0.983,1.25503128099388e-219,"group2","TMSB4X"
"TGM2",1.16615083705271e-185,1.29086159749219,0.592,0.285,3.91103667730738e-181,"group2","TGM2"
"APLP2",2.54063709568191e-163,1.17135584697609,0.78,0.663,8.520788691498e-159,"group2","APLP2"
"B2M",9.70481856506457e-162,1.02510654723543,0.99,0.991,3.25480205035136e-157,"group2","B2M"
"TIMP3",8.89693378359486e-160,1.2011554603102,0.547,0.236,2.98385365234204e-155,"group2","TIMP3"
"S100A8",1.13660572601566e-158,0.950866189642916,0.314,0.033,3.81194828391134e-154,"group2","S100A8"
"ACTA2",6.66830275872817e-157,1.68302273467679,0.743,0.524,2.23641537922226e-152,"group2","ACTA2"
"MTRNR2L8",6.32041855749263e-156,1.15137895277115,0.269,0.007,2.11974197581188e-151,"group2","MTRNR2L8"
"C11orf96",4.97866993488173e-153,1.9089622997273,0.542,0.253,1.66974632276063e-148,"group2","C11orf96"
"PLIN2",3.09446188119798e-147,1.43712349057063,0.436,0.16,1.03782062571618e-142,"group2","PLIN2"
"CES1",3.73472776245394e-147,1.19825012367433,0.446,0.174,1.2525529969718e-142,"group2","CES1"
"FBP1",6.63513406603887e-145,1.54996711479524,0.36,0.091,2.22529126306812e-140,"group2","FBP1"
"GAPDH",3.6660372707577e-140,0.612997780805195,0.983,0.976,1.22951557986672e-135,"group2","GAPDH"
"CYP1B1",3.23036254049026e-139,0.764662947877663,0.395,0.104,1.08339898882962e-134,"group2","CYP1B1"
"OLR1",5.4478722762875e-138,0.894449553585728,0.269,0.023,1.8271074040213e-133,"group2","OLR1"
"MMP7",7.50900894731467e-137,1.16464206328983,0.32,0.056,2.51837142075039e-132,"group2","MMP7"
